name,lat,lon,category,popularity
Shushtrut Hospital,23.0090048,72.56227,hospital,94
Unknown,23.0034536,72.5651766,place_of_worship,69
Central Bank of India,23.0471515,72.5527534,bank,38
Kalupur Commercial Co-operative Bank,23.0453324,72.5517832,bank,21
Akhbarnagar petrol pump,23.0684998,72.5619985,fuel,20
Havmor Restaurant,23.0376713,72.565775,restaurant,82
Natural Ice Cream,23.0328812,72.5655478,fast_food,47
Crossword Book Store,23.0327479,72.5653869,books,61
Agashiye Restaurant,23.0270378,72.5816167,restaurant,38
Kaka Bhajipav,23.0037105,72.6379538,hotel,77
Bank of Baroda,23.0058514,72.5910422,bank,93
The Ummed Ahmedabad,23.0823961,72.6165176,hotel,69
Food Temple,23.0847638,72.5647629,restaurant,95
Shree Aaiji Super Market,23.0856343,72.5646439,supermarket,33
Kesharbhavani Medical Store,23.0855329,72.5643816,pharmacy,57
Samruddhi Jwellers,23.0849901,72.5646659,jewelry,57
Unknown,23.0899418,72.5657014,atm,99
Black Salt,23.0523024,72.4998803,restaurant,26
Al-Aman Hotel,23.0171175,72.589927,guest_house,80
Unknown,23.0229763,72.5783185,hairdresser,23
Cadillac Guest House,23.0259742,72.5814073,guest_house,32
Good Night,23.0268808,72.5816588,hotel,57
Green House Restaurant,23.0272633,72.5816108,restaurant,86
Hotel Embassy,23.023332,72.5784759,guest_house,59
Unknown,23.0246727,72.5824724,place_of_worship,51
New Esquire,23.0268288,72.5816543,guest_house,43
Paris Hotel,23.0280485,72.5981085,guest_house,98
Rajdhani Guest House,23.0252513,72.5815886,guest_house,58
Sahil Guest House,23.0257592,72.5815592,guest_house,55
Soheb Guest House,23.0253553,72.5815908,guest_house,53
Venus Guest House,23.0258639,72.5815558,guest_house,99
Unknown,23.0173101,72.5896206,place_of_worship,31
Unknown,23.0230528,72.5783265,guest_house,95
Unknown,23.0263196,72.5841287,fuel,53
Gopnath Mahadev Mandir,23.0688147,72.5648948,place_of_worship,62
Vrundavan Restaurant;AKHBAR NAGAR CIRCLE,23.0674245,72.5645716,restaurant,68
Bhoyani Jain Tritha,23.3595416,72.2290503,place_of_worship,87
Panchshil Madyamic School,23.4021418,72.2425645,college,65
Market Yard,23.4054806,72.2409654,mall,62
Mahadev Mandir,23.4055762,72.2425677,place_of_worship,71
Arogya Vardhak Hospital,23.4050091,72.2415164,hospital,74
Punit Ashram,23.0024214,72.605685,place_of_worship,73
AMC MET Medical College,22.9986434,72.6046567,college,25
Rehoboth Christian Assembly,23.0010208,72.5368761,place_of_worship,49
Jivkorbhai Lallubhai High School,22.9987803,72.6026493,school,60
Govind Cycles,22.9990897,72.6016251,bicycle,44
KK Shah Jarodwala Science College,22.998722,72.6030289,college,90
Rambaug Post Office,22.9983828,72.5960246,post_office,33
Shree Swaminarayan Temple Gadi Sansthan,22.9955398,72.6107331,place_of_worship,25
Ambaji Mata Temple,22.9912494,72.6083788,place_of_worship,24
Baba Ramdev Pir Temple,22.992009,72.605944,place_of_worship,72
Maneklal Jethalal Public Library,22.9915868,72.6073361,library,44
Ram Krishna Temple,22.9916559,72.6062149,place_of_worship,63
Shiv Mandir (Temple of Lord Shiva),22.9915288,72.6063779,place_of_worship,83
Mother Dairy,23.0355267,72.5154344,dairy,87
Navchetan School,23.0152445,72.5630784,school,69
Rajhans Cinemas,23.0664215,72.5316963,cinema,68
Karmachari Shiksan Tirth,23.064931,72.5415796,school,52
Panchdev Mahadev Mandir,23.0654461,72.5424404,place_of_worship,33
M B Patel Gyanjyot High School,23.0702999,72.5460531,school,59
Gyanda Girls High School,23.072279,72.5479789,school,70
Nutan Vidya Vihar,23.0681554,72.5428774,school,85
Real Paprika,23.0212619,72.543503,restaurant,46
"Khodiyar Temple, New Ranip",23.0925942,72.5664534,place_of_worship,58
Tagore Hall,23.012914,72.5710792,townhall,35
Navrangpura,23.0355882,72.5641854,bus_station,70
All India Radio ( Ahmedabad Center ),23.039799,72.5687134,studio,69
Dada Harir Vav,23.0406958,72.6054713,attraction,92
Dai Halima tomb,23.0409874,72.6049887,attraction,95
Ahmedabad District Cooperative Bank,23.0406536,72.5713107,bank,22
Khamasa Parsi Agiyari,23.0212928,72.5847376,place_of_worship,34
Gol Limbda Bhajiya and Nashta House,23.0200882,72.5860331,fast_food,92
"The State Bank of India, Ahmedabad Office",23.0245389,72.579428,bank,73
Ellisbridge Police Station,23.022886,72.5716416,police,71
"British Library, Ahmedabad",23.0241291,72.55992,library,64
CEPT University Parking Space,23.0385409,72.5505639,parking,69
Ahmedabad ni Gufa,23.0362323,72.5496859,arts_centre,66
Zen Cafe,23.0362229,72.5494261,cafe,81
Barbeque Nation,23.0480405,72.526862,restaurant,59
Cafe Coffee Day,23.0329764,72.5600005,cafe,75
Citibank,23.0337365,72.5608865,bank,79
Induben Khakhrawala,23.0325848,72.5613239,convenience,95
"The State Bank of India, Ahmedabad Office",23.0328329,72.5598654,bank,64
MAAC Studio,23.0336976,72.5608424,studio,78
Jain Temple,23.0333137,72.5599824,place_of_worship,22
Kotak Mahindra Bank,23.0331142,72.5599842,bank,20
Romano,23.0328013,72.5603885,clothes,67
Chanel,23.0340092,72.5601894,clothes,55
Vikram A. Sarabhai Community Science Centre,23.0366663,72.5492165,community_centre,45
Sai Baba Temple,23.0804158,72.6203895,place_of_worship,82
Sardarnagar Police Station,23.0804289,72.620522,police,33
"PVR, acropolis mall",23.0490934,72.5160613,cinema,41
kalupur Police Station,23.0280667,72.5938493,police,21
Unknown,22.7241529,72.2705721,farm,20
Unknown,22.2454073,72.1806556,fuel,58
Unknown,22.251392,72.1881124,fuel,65
Dariyakhan Ghummaj,23.0526575,72.5867794,place_of_worship,95
Sheikh Mohimmad atik,23.0243077,72.5837441,kiosk,57
Unknown,23.0307495,72.5398312,kiosk-cholle kulchr,68
Unknown,23.0265455,72.5443605,prakash-dalwasa,90
talsingh,23.0263991,72.5443504,kiosk-nagar cholafadi,96
master wada paav,23.0260866,72.5440367,kiosk,26
sureshbhai prajapati,23.0230239,72.5431753,kiosk-indorni sabu dana khichdi,77
login,23.0425653,72.5497189,tea,98
login,23.0425341,72.5503049,tea,72
have a nice day,23.0422756,72.5506152,tea,97
R.K.OMLET,23.0454711,72.5517948,deli,72
Janta,23.0479379,72.5337283,ice_cream,55
new rashtriya bhajiya house,23.0364058,72.5692215,kiosk,94
krishna cold drinks,23.0401345,72.5795927,beverages,26
janta bakery,23.036703,72.5797316,bakery,63
rehmati bakery,23.037044,72.5690405,bakery,74
happiness,23.0427571,72.5496027,coffee,85
bhogilal mulchand,23.0368824,72.5694452,bakery,93
saviour annexe hospital,23.0368587,72.5699511,hospital,29
super tea stall,23.0376364,72.569816,tea,88
shri shankar bhuvan nashta house,23.0398738,72.5779042,kiosk,25
barley water shop,23.0422114,72.549159,beverages,99
navrang restuarant,23.0426527,72.5492686,deli,84
jalaram parontha house,23.0426291,72.549319,deli,20
punjabi flavours,23.0426338,72.5493001,deli,71
bherunath jain chavana house,23.039816,72.5798143,bakery,84
manhar doodh ghar,23.0385763,72.579821,bakery,85
dhanlakshmi fruit stall,23.0345651,72.5796656,greengrocer,54
rehmati bakery,23.0371194,72.5691251,bakery,45
Amul,23.0440918,72.5472223,dairy,68
Shreeji krupa vadapav,23.0423379,72.549193,fast_food,36
facebook restuarant,23.0426661,72.5492595,deli,76
R K vadapav,23.0424164,72.5492615,deli,80
rasranjan,23.042291,72.5487336,bakery,71
McDonald's,23.0423816,72.5486525,fast_food,34
Mukhwaas,23.0241153,72.5871222,kiosk,20
Asharfilal Kulfi,23.0426757,72.5492422,fast_food,99
Hindustan Petroleum Station,23.0120486,72.5638517,fuel,60
Bhadra Taxi Stand,23.0271947,72.5801019,taxi,56
Bismillah Boarding Guesthouse,23.0248912,72.5828443,guest_house,25
Central Bank of India,23.0274353,72.5809242,bank,66
Comfort,23.0264847,72.5821262,hotel,52
Ghandi Cold Drink House,23.0246187,72.5828928,cafe,73
Gita Mandir,23.0147506,72.5911761,taxi,26
HDFC Bank Paldi Branch,23.0137058,72.559847,bank,41
HDFC Bank Relief Road Branch,23.026296,72.5819103,bank,98
Karanj Police Station,23.0245097,72.5820394,police,68
Lucky Tea Shop,23.027562,72.5811204,fast_food,73
Mehul,23.0267135,72.581946,hotel,90
Metropole,23.0266885,72.5819313,hotel,47
Naeeka,23.0552316,72.5908571,restaurant,35
Nishat,23.0248713,72.5829376,restaurant,26
Nishat,23.0248607,72.5830856,restaurant,94
Paramount,23.0245678,72.5823659,restaurant,47
Unknown,23.0049181,72.5529832,fuel,40
Unknown,23.0153173,72.5927666,travel_agency,85
Unknown,23.0388835,72.5880366,atm,58
Indian Oil,23.0396523,72.5955759,fuel,54
Relief Cyber Cafe,23.0263181,72.5830356,cafe,32
Sahara,23.0253454,72.5829711,hotel,48
Volga,23.0268157,72.582027,hotel,70
ZK,23.0263496,72.5824954,hotel,95
fish market,23.0247302,72.5841473,marketplace,31
meat market,23.0247665,72.5834189,marketplace,41
Maninagar Bus stop,22.99746,72.6259649,bus_station,40
Maninagar Railway Station,22.9986995,72.6109437,bus_station,21
Calico Textile Museum,23.05418,72.5924764,museum,21
Naroda Gam,23.0770964,72.6558075,bus_station,29
Ahmedabad,23.0218734,72.5984903,bus_station,55
Lal Darwaja AMTS Bus Stop,23.0241902,72.5785562,bus_station,50
Bopal Vegetable Market,23.0307489,72.4718735,supermarket,80
Loving Community,22.9994873,72.6442136,community_centre,42
Jamalpur,23.0057337,72.5740652,community_centre,67
Adani CNG Gas Station,23.011445,72.5864365,fuel,79
Unknown,23.04628,72.5324945,motorcycle_parking,49
Jasuben Pizza,23.0206812,72.5540845,fast_food,96
Dharmeshawar Mahadev Temple,23.0784656,72.5916738,place_of_worship,63
Jain Derasar,23.0803221,72.5922625,place_of_worship,35
Unknown,23.0843928,72.5914619,supermarket,88
Geeta Maternity Hospital,23.0836049,72.5901213,hospital,63
Ramji Mandir,23.0836988,72.5895182,place_of_worship,45
Vaishno Devi Mataji Mandir,23.0790305,72.5895455,place_of_worship,47
Sabarmati Development Society Sanchalit Sheth Shri Pukhraj Raichand General Hospital,23.0829627,72.5906964,hospital,38
HDFC Bank,23.0835179,72.5909029,bank,32
MAHARAJ Food Corner,23.0839448,72.5892158,fast_food,25
Gol Bank,23.0834501,72.5888148,bank,73
Bank of Baroda,23.0825491,72.5900739,bank,23
GCS Medical College Hospital and Research Centre,23.0389267,72.6107232,hospital,41
Adidas,23.0141932,72.5291592,shoes,73
sakuntal hat,23.0140155,72.5283921,fashion,24
saswat bank,23.0140747,72.5285852,bank,48
CHANDLODIA MARKET,23.0891843,72.5415308,marketplace,37
RC TECHNICAL INSTITUTE,23.0830479,72.5307242,college,78
SOLA POLICE STATION,23.0869563,72.5290719,police,35
waah,23.0342579,72.5609251,restaurant,54
havmor,23.0342641,72.5608446,restaurant,77
Unknown,23.0344715,72.5611879,restaurant,87
choice,23.0344517,72.5612536,restaurant,77
chocolate room,23.0358422,72.5617312,cafe,59
purohit,23.0342345,72.5610096,restaurant,61
HDFC Bank,23.0098902,72.5465809,bank,47
TDW Furniture Private Limited,23.0270936,72.5217681,furniture,45
RA.B.GI.U Muncipal Library,23.028543,72.5963088,library,48
B.N.Library,23.021184,72.594867,library,80
Chandrakant Baxi Muncipal Library,23.06356,72.566632,library,96
Dr.Shyama Prashad Mukharji Muncipal Library,23.0111095,72.5316614,library,73
Gorvardhan AM Tripathi Muncipal Library,22.998323,72.602814,library,78
Jayotindra Dave Muncipal Library,23.043314,72.580155,library,49
Kavi Ramanlal Vasantlal Desai Muncipal Library,23.0256941,72.644105,library,32
Patel.K.K.Muni Library,23.074475,72.656816,library,30
Swa.Lalbhai Kundivala Muncipal Library,23.018496,72.586658,library,67
V.N.Shah Library,23.021774,72.623712,library,43
canera bank,23.0526603,72.5568708,bank,37
Cafe Coffee Day,23.0245018,72.5073318,cafe,85
Honest,23.0385865,72.5126614,restaurant,65
Subway,23.0385075,72.512884,fast_food,87
McDonald's,23.0244178,72.507327,fast_food,48
Havmor,23.0381817,72.5122645,restaurant,81
Star Bazaar,23.0269648,72.5242142,supermarket,62
Shell,23.0121167,72.5124778,fuel,69
Yes Bank,23.0119649,72.5130175,bank,83
Shangrila Bunglows,23.0568853,72.5089574,community_centre,56
hotel sangrila,22.9138916,72.401875,hotel,88
Jeet Tours & Travel,23.0264342,72.6001635,travel_agency,26
Nescafe,23.0371357,72.5443257,cafe,69
hotel honey bonney,23.0333487,72.5578806,hotel,78
Unknown,23.0682694,72.576047,toilets,71
Adi jati kanya chhatralay- Hostel,23.0683684,72.5767927,hostel,85
My dentist,23.0084916,72.5611665,dentist,39
Swaminarayan ,23.0055252,72.5522649,place_of_worship,48
K.ka.shastri infirmation center,23.0093768,72.5483071,information,27
TGB,23.005805,72.5552881,fast_food,44
CNG Adani,23.0135186,72.5644029,fuel,21
Swaminarayan Temple Bavla,22.8342872,72.366148,place_of_worship,39
State Bank of India,23.0462917,72.6409003,bank,85
shilpa medical store,23.047818,72.6371657,pharmacy,39
Vatva police,22.9718545,72.6275,police,63
Dena Bank,22.9713508,72.6273272,bank,25
Manki children store,23.0510386,72.6442794,clothes,89
Kotak Mahindra Bank,23.0384792,72.5692563,bank,78
Domino's,23.051025,72.64396,fast_food,67
TGB,23.0510167,72.64456,fast_food,58
Spoons n straws,23.0512085,72.643756,fast_food,97
Unknown,23.0579511,72.6431616,fuel,62
Cng Petrol pump,23.0523451,72.6319464,fuel,24
Big Bazaar,23.0147236,72.5975122,supermarket,46
McDonald's,23.0142097,72.597377,restaurant,36
Garden Paradise,23.0451788,72.4615643,guest_house,24
Unknown,23.0411515,72.5194989,furniture,25
Unknown,23.043024,72.521679,furniture,46
Subway,23.0464898,72.5294517,restaurant,87
Unknown,23.0323274,72.5597398,clothes,30
Unknown,23.0523774,72.5547791,optician,97
Unknown,23.0020986,72.5980125,bar,91
my tution,23.0570698,72.5363549,books,74
ambe mataa mandir,23.0594376,72.5365252,place_of_worship,42
Jagdamba Sales Corporation,23.0857612,72.6301401,electronics,100
32 PEARLS Multispeciality Dental Clinic,23.057131,72.549469,dentist,80
Petrol CNG pump,23.0219685,72.6508243,fuel,83
vizcare hospital,23.0997272,72.5363217,hospital,53
ghanshyam o/blok,23.0772851,72.5544064,guest_house,79
HDFC bank,22.9623509,72.6326626,bank,26
Aryan's Villa💞,23.0882437,72.584299,pharmacy,63
Jain Nagar,23.0886047,72.5844263,wine,71
Esaar petrol pump,23.4921781,72.0319807,fuel,60
Rubber king tyres p ltd,23.0901293,72.0615012,attraction,83
Unknown,23.1189995,72.0589383,bench,62
Hotel Ram Chhapri,23.0437933,72.0369933,hotel,27
Odhav police station (new building),23.0259396,72.6724978,police,68
Supratech Voluntary Blood Bank,23.0479402,72.5271143,blood_bank,88
Ramanand gurukul swastik hall,23.0479045,72.5267206,community_centre,52
Reliance Smart,23.0475825,72.5265833,supermarket,35
Unknown,23.0478082,72.5269346,atm,56
Atithi Dining Hall,23.0381074,72.5138086,restaurant,86
Bank of Baroda,23.0478572,72.526783,atm,43
Sunflower Womens Endo Infertility and Hospital Pvt. Ltd.,23.0457576,72.5412888,hospital,41
little flower,23.0460963,72.533033,hospital,91
May Flower Womens Hospital Pvt. Ltd.,23.0455774,72.5419051,hospital,59
sunflower infertility clinic,23.0455615,72.541361,clinic,55
Viramgam,23.1270255,72.0511173,bus_station,93
Hotel Sahyog,22.6438487,72.2062332,hotel,63
CNG Hp petroleum,22.6461786,72.2063059,fuel,94
Unknown,23.0142393,72.5935884,atm,50
Divine child circle,23.1221233,72.5825561,attraction,27
Jamalpur Darwaja,23.0124252,72.581461,attraction,40
Meghaninagar Char Rasta,23.0544365,72.61801,bus_stop,84
"F D High School for Girls, Jamalpur",23.0119864,72.5831726,school,48
DMart,23.0552881,72.6711806,supermarket,76
"Sabri Kathiyavadi,panjabi",23.0591783,72.6708433,restaurant,83
D Mart,23.0680121,72.5761383,department_store,30
Relince Digital,23.0680414,72.5758088,department_store,48
Arved transcube Plaza,23.0679571,72.5760578,supermarket,27
Unknown,23.046489,72.5162482,toilets,59
Hanspura/Dehgam naka police station,23.08872,72.686768,police,96
AFC Garden Restaurant,23.111054,72.6050699,restaurant,22
Unknown,23.0469788,72.51561,toilets,83
cng,23.039025,72.580366,gas,91
Petrol pump Nava Naroda,23.0797088,72.6678593,fuel,69
Under ground Parking,23.0681437,72.5761887,parking_space,84
Kabir Restaurant,23.0795581,72.6690656,restaurant,90
CNG Bharat petroleum,23.0400891,72.5781297,fuel,53
Half Ticket,23.0379538,72.5617091,clothes,84
Liberty Showroom,23.0368527,72.5610186,shoes,72
Maruti Suzuki NEXA,23.0122697,72.503458,car,71
Sola,23.057541,72.5435085,attraction,89
Half ticket,23.0337539,72.5601493,clothes,87
Bhavsar Hostel,23.06745,72.568993,hostel,62
SN Collage,23.0283544,72.5148851,college,80
SN School,23.0281673,72.514922,school,59
Gurukul,23.0457058,72.5268056,place_of_worship,43
Zoolta Minara,23.0279863,72.6010094,attraction,63
Muni Bapu Ashram,23.0148133,72.3829577,place_of_worship,79
Gujrat Vidhyapeeth,23.0441852,72.5692947,university,85
Shah E Alam Roza,22.9940973,72.5895788,place_of_worship,62
Jama Masjid,22.9933887,72.5054614,place_of_worship,90
science city road,23.0809988,72.4983109,attraction,78
Asarwa civil post office,23.0500117,72.6072412,post_office,91
"Kidny hospital , asarwa",23.0494133,72.6074852,hospital,95
"Gujarat Institute Of Nursing Education And Research , Asarwa ,Ahemedabad",23.0496453,72.6071588,hospital,100
Government Dental College and Hospital,23.0499136,72.604565,hospital,46
"Government Dental College ,Ahemedabad",23.0497247,72.6043173,college,24
"BJ Medical College ,Haripura -Asarwa",23.0524472,72.6027712,college,54
Unknown,22.9700995,72.6619111,toilets,89
Unknown,23.0724693,72.3634999,police,76
Sai baba,23.0887798,72.6500054,place_of_worship,65
Sant nirankari Ashram,23.0868773,72.6479573,place_of_worship,35
Maya CINEMA -CLOSED,23.0810593,72.6415185,cinema,64
Mahlaxmi papad,23.0739761,72.6416185,supermarket,35
Kubernagar Main market - sindhi market,23.0731757,72.6414355,supermarket,78
Changodar,22.9402206,72.4567127,place_of_worship,38
Lambha Mandir,22.9413497,72.5798073,place_of_worship,92
Bhadra Kali Temple,23.0239807,72.5814992,place_of_worship,29
Tata Mootrs,22.9923265,72.5366121,car,25
Vani Hospital & IVF center,22.99465,72.6157541,hospital,29
"Two-wheeler , Three-wheeler  and cattle  are forbidden on the expressway NE-1",22.9882569,72.6291774,information,61
arbi,23.030136,72.600163,restaurant,97
Vani IVF Center,22.994662,72.615422,hospital,52
West Cost pharma,23.087526,72.536757,pharmacy,22
Raghunath Party Plot,23.0407768,72.5065027,community_centre,57
GCS Medical college,23.038409,72.611136,school,46
Cooking Culture,23.035392,72.5065,restaurant,97
Unknown,23.044384,72.657885,hospital,22
Prl thaltz hostel,23.0435976,72.4929192,hostel,98
Saijpur post office,23.0592677,72.6375916,post_office,46
Unknown,23.0072825,72.5386698,place_of_worship,24
Unknown,23.0357335,72.4669988,school,42
Aalisha Clinic,23.0858856,72.5638235,hospital,84
BalMukund Hospital,23.0932069,72.5592841,hospital,72
South Bopal,23.021803,72.4747707,car_wash,83
readymadepocket,23.0277198,72.5880275,clothes,94
Chandlodiya Temple,23.0838579,72.5530656,place_of_worship,77
S G Hospital Chandlodiya,23.0848906,72.5512244,hospital,69
HANDI HOTEL,23.0659846,72.5827993,restaurant,49
HARSHAL PUBLICATION,23.0228851,72.5718995,books,30
Little Italy,23.0324134,72.5082222,restaurant,71
Unknown,22.9947074,72.607567,beverages,24
Krsna Lila,23.0288104,72.3001469,hotel,77
Jethabhai Parmar Garden Fountain,23.0491143,72.600946,fountain,29
Satva Vikas School,23.0415757,72.4959141,school,32
Tandoorworkz,23.0199957,72.5580704,restaurant,21
State Bank Of India,23.0353395,72.5429261,atm,40
Annapurna,22.9818481,72.6317943,restaurant,44
Gayatri,22.9811933,72.6319432,restaurant,23
Royal Pride,22.9815706,72.6329291,restaurant,80
Mahadev Temple,22.9853608,72.6321146,place_of_worship,52
Chamunda Mata Temple,22.9861602,72.6310124,place_of_worship,62
Saibaba Temple,22.9866323,72.6300604,place_of_worship,93
Butterfly Park,23.0042377,72.5985306,theme_park,40
Mahadev Temple,22.9831015,72.6248105,place_of_worship,29
Temple,22.9849403,72.6295687,place_of_worship,97
Gujarat university police station,23.0347446,72.5405988,police,26
Planet Women Fertility and Counseling,23.0249306,72.5434079,hospital,37
Ashapura Industrial Estate,22.968738,72.6513756,attraction,57
Evergreen Hotel,22.9742764,72.5865341,hotel,85
Shree hari fiber product p ltd,23.0288903,72.6821044,attraction,23
Unknown,23.0687153,72.5807241,restaurant,25
Mottotech industries,22.9686617,72.6513022,attraction,44
Swastic Center,22.9718583,72.5885636,attraction,49
Anupam estate,23.0155534,72.6351968,attraction,60
"Payload Electronics Lab, Physical Research Laboratory",23.0442577,72.4954264,electronics,44
National Company Law Tribunal (NCLT) Ahmedabad Bench,23.0550088,72.5167339,courthouse,79
nilam snacks,23.0550362,72.5398877,fast_food,56
Art book center specialist in books on indian culture,23.0216194,72.5686718,books,28
c point furniture,23.0507889,72.6634833,furniture,41
Unknown,23.0216703,72.5710114,mobile_phone,76
Tan-man bhaji pav,23.0071778,72.6638136,fast_food,63
VIVEKANAND VIDYALAYA,23.0094986,72.6362813,school,91
Unknown,23.072579,72.5539414,bank,58
